Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Purchase_Amount_clipped,Purchase_Date,Purchase_Year,Purchase_Month,Purchase_Month_Name,Purchase_DayOfWeek,Purchase_Hour,is_repeat_customer,RFM_segment,Discount_Sensitivity_Bucket,Decision_Speed
37-611-6911,22,Female,Middle,Married,Bachelor's,Middle,Évry,Gardening & Outdoors,333.8,4,Mixed,5,5,2.0,Unknown,Somewhat Sensitive,1,7,Unknown,Tablet,Credit Card,2024-03-01,True,False,Need-based,No Preference,2,333.8,2024-03-01,2024,3,March,Friday,0,0,At Risk,Somewhat Sensitive,Fast
48-980-6078,29,Female,Middle,Single,Master's,Middle,Wiwilí,Home Appliances,101.31,6,Mixed,3,1,1.0,High,Somewhat Sensitive,0,1,Unknown,Smartphone,Other,2024-10-04,True,True,Need-based,Express,10,101.31,2024-10-04,2024,10,October,Friday,0,0,At Risk,Somewhat Sensitive,Medium
37-065-3182,24,Female,High,Divorced,Master's,Middle,Gråbo,Office Supplies,201.96,8,In-Store,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,Cash,2024-06-10,False,False,Need-based,Standard,7,201.96,2024-06-10,2024,6,June,Monday,0,0,Low Value,Very Sensitive,Medium
84-894-9222,25,Bigender,High,Married,Bachelor's,High,Pryamitsyno,Sports & Outdoors,418.83,7,Online,2,5,1.0,Unknown,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,2024-10-07,True,False,Need-based,No Preference,13,418.83,2024-10-07,2024,10,October,Monday,0,0,Loyal,Somewhat Sensitive,Slow
44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Punta Gorda,Mobile Accessories,389.7,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,2024-07-02,True,False,Planned,Express,12,389.7,2024-07-02,2024,7,July,Tuesday,0,0,Potential Loyalists,Not Sensitive,Slow
19-933-8095,34,Male,Middle,Single,Bachelor's,High,Gaosheng,Luxury Goods,61.22,7,In-Store,5,2,2.0,Low,Very Sensitive,1,7,High,Desktop,Debit Card,2024-08-05,True,True,Need-based,No Preference,5,61.22,2024-08-05,2024,8,August,Monday,0,0,Low Value,Very Sensitive,Medium
90-069-8934,40,Male,High,Divorced,Master's,High,Dhankutā,Hotels,109.29,3,Online,3,4,0.0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,2024-08-11,False,True,Wants-based,Express,11,109.29,2024-08-11,2024,8,August,Sunday,0,0,Low Value,Somewhat Sensitive,Medium
89-883-2101,38,Female,Middle,Divorced,Bachelor's,High,Ngeru,Mobile Accessories,236.99,10,Mixed,2,4,0.0,High,Very Sensitive,0,8,Unknown,Tablet,PayPal,2024-12-09,True,True,Impulsive,No Preference,13,236.99,2024-12-09,2024,12,December,Monday,0,0,Potential Loyalists,Very Sensitive,Slow
67-159-7366,29,Female,High,Widowed,Bachelor's,Middle,Monastyrshchina,Electronics,490.75,10,In-Store,2,4,1.0,Unknown,Very Sensitive,1,4,Low,Smartphone,Debit Card,2024-07-08,False,False,Wants-based,Standard,13,490.75,2024-07-08,2024,7,July,Monday,0,0,Potential Loyalists,Very Sensitive,Slow
95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,São Roque,Software & Apps,461.0,7,Online,2,4,1.0,High,Not Sensitive,0,8,Low,Tablet,Cash,2024-07-10,False,True,Wants-based,Standard,9,461.0,2024-07-10,2024,7,July,Wednesday,0,0,Potential Loyalists,Not Sensitive,Medium
29-625-7057,31,Female,Middle,Single,Master's,Middle,Nesovice,Arts & Crafts,489.05,10,Online,5,3,0.0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,2024-09-04,True,True,Planned,Standard,7,489.05,2024-09-04,2024,9,September,Wednesday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
25-839-8670,45,Female,Middle,Widowed,High School,Middle,Tála,Health Supplements,382.24,12,In-Store,1,5,1.0,High,Very Sensitive,1,4,High,Tablet,PayPal,2024-07-06,True,True,Planned,Standard,3,382.24,2024-07-06,2024,7,July,Saturday,0,0,Potential Loyalists,Very Sensitive,Fast
89-194-0596,33,Female,High,Married,Bachelor's,Middle,Marseille,Gardening & Outdoors,354.7,5,Online,4,2,0.0,Unknown,Very Sensitive,2,7,Unknown,Smartphone,Other,2024-02-10,True,False,Planned,Express,12,354.7,2024-02-10,2024,2,February,Saturday,0,0,At Risk,Very Sensitive,Slow
85-738-6864,25,Male,Middle,Married,High School,High,Inayauan,Mobile Accessories,138.88,7,In-Store,2,4,1.0,Unknown,Not Sensitive,1,3,Unknown,Tablet,Cash,2024-06-08,True,False,Planned,No Preference,4,138.88,2024-06-08,2024,6,June,Saturday,0,0,Low Value,Not Sensitive,Fast
15-354-9904,34,Male,Middle,Single,Bachelor's,High,Bagahanlad,Groceries,338.2,7,Online,3,5,0.0,Unknown,Not Sensitive,1,9,Medium,Tablet,Other,2024-09-01,True,False,Wants-based,Standard,7,338.2,2024-09-01,2024,9,September,Sunday,0,0,Potential Loyalists,Not Sensitive,Medium
35-198-9248,21,Female,Middle,Widowed,High School,Middle,Rzewnie,Toys & Games,263.15,3,In-Store,1,5,1.0,High,Somewhat Sensitive,1,10,High,Tablet,Other,2024-03-04,True,False,Impulsive,Express,10,263.15,2024-03-04,2024,3,March,Monday,0,0,Low Value,Somewhat Sensitive,Medium
